Guys northem chile really needs a support message #PrayForChile	N G ^ R V D N N #	Guys northem chile really needs a support message #PrayForChile
RT @WorldVisionNews : " Evacuations may become chaotic , people are scared ; it´s dark , cold ; traffic gets hectic . ” @WorldVision staff in #Chil …	~ @ ~ , N V V A , N V A , L A , A , N V A , , @ N P ^ ,	RT @WorldVisionNews: "Evacuations may become chaotic, people are scared; it´s dark, cold; traffic gets hectic.” @WorldVision staff in #Chil…
RT @earthskyscience : Near real-time animation of tsunami from April 1 earthquake off Chile . Amazing to see waves move across Pacific ! http : …	~ @ ~ P A N P N P ^ $ N P ^ , A P V V V P ^ , U ~ ,	RT @earthskyscience: Near real-time animation of tsunami from April 1 earthquake off Chile. Amazing to see waves move across Pacific! http:…
Strong earthquake off Chile - 5 dead | apg29 http://t.co/WdhAn8uLhG	A N P ^ , $ A , N U	Strong earthquake off Chile - 5 dead | apg29 http://t.co/WdhAn8uLhG
UPDATE : Five dead after Chile quake , which has been upgraded to 8.2 http://t.co/MhwUu818rg via @NBCNews #Chile #earthquake	N , $ A P ^ N , D V V V P $ U P @ # #	UPDATE: Five dead after Chile quake, which has been upgraded to 8.2 http://t.co/MhwUu818rg via @NBCNews #Chile #earthquake
ShakeAlert ! M 5.3 - 33km WNW of Iquique , Chile ~ Map : http://t.co/KrBBkm2Kvn ~ #earthquake	N , G $ , $ N P ^ , ^ G N , U G #	ShakeAlert! M 5.3 - 33km WNW of Iquique, Chile ~ Map: http://t.co/KrBBkm2Kvn ~ #earthquake
RT @PauleyP : Just wanted you to know , I was texting with Cote earlier and thankfully she's safe and sound . #Chile	~ @ ~ R V O P V , O V V P ^ R & R L A & V , #	RT @PauleyP: Just wanted you to know, I was texting with Cote earlier and thankfully she's safe and sound. #Chile
#VOFNPaper | Tsunami warning today : California safe - Arrival times estimated for Chile , Peru , Ecuador , Colombia , ... http://t.co/Znd1p6Mz5F	# G N N N , ^ A , ^ N V P ^ , ^ , ^ , ^ , ~ U	#VOFNPaper | Tsunami warning today: California safe - Arrival times estimated for Chile, Peru, Ecuador, Colombia, ... http://t.co/Znd1p6Mz5F
RT @USGSBigQuakes : Major earthquake , TARAPACA , CHILE , Apr-3 02:43 UTC , http://t.co/U1AKidkjDP	~ @ ~ A N , ^ , ^ , ^ $ N , U	RT @USGSBigQuakes: Major earthquake,  TARAPACA, CHILE, Apr-3 02:43 UTC, http://t.co/U1AKidkjDP
RT @kheshisantos : another country needs our help and prayers . let's help them to the extent of what we can offer . #PrayForChile	~ @ ~ D N V D N & N , L V O P D N P O O V V , #	RT @kheshisantos: another country needs our help and prayers. let's help them to the extent of what we can offer. #PrayForChile
#Temblor ♨ M 4.5 , 74km NW of Iquique , Chile http://t.co/T9Mmu5AOj7 #Earthquake #Sismo	# G G $ , $ N P ^ , ^ U ^ #	#Temblor♨ M 4.5, 74km NW of Iquique, Chile http://t.co/T9Mmu5AOj7 #Earthquake #Sismo
Authorities lifted #tsunami warnings for #Chile after a magnitude- 8.2 #earthquake struck . http://t.co/UZiUxHEGaA #ChileEarthquake	N V N N P ^ P D N $ N V , U #	Authorities lifted #tsunami warnings for #Chile after a magnitude-8.2 #earthquake struck. http://t.co/UZiUxHEGaA #ChileEarthquake
@DerekHarmsworth @IAmByks I was at VIII and 13 . There's your inconsistencies right there ! :-)	@ @ O V P ^ & $ , L D N R R , E	@DerekHarmsworth @IAmByks I was at VIII and 13. There's your inconsistencies right there! :-)
Second large quake strikes #Chile http://t.co/vWLEuk3RQF	A A N N # U	Second large quake strikes #Chile http://t.co/vWLEuk3RQF
RT @fabdealsarees : #Tsunami alert ! Another quake hits #Chile ... For Earthquake Alert ! #Apps visit http://t.co/MsWxm009xc #PrayForChile http …	~ @ ~ # N , D N N # , P ^ N , # V U # U ~	RT @fabdealsarees: #Tsunami alert! Another quake hits #Chile...For Earthquake Alert! #Apps visit http://t.co/MsWxm009xc  #PrayForChile http…
#Teamfollowback #RT Earthquake aftermath : Chile learns from 2010 quake missteps (+video ) - Christian Science Monitor http://t.co/fw7ENGX1go	# # ^ N , ^ V P $ N N N , , ^ ^ ^ U	#Teamfollowback #RT Earthquake aftermath: Chile learns from 2010 quake missteps (+video) - Christian Science Monitor http://t.co/fw7ENGX1go
RT @Plan_Prep_Live : A restaurant by the sea shore burning after a powerful 8.2 -magnitude #earthquake hit off #Chile's Pacific coast http://…	~ @ ~ D N P D N N V P D A $ N N V T Z ^ N U	RT @Plan_Prep_Live: A restaurant by the sea shore burning after a powerful 8.2-magnitude #earthquake hit off #Chile's Pacific coast http://…
We produced #seismic #sounds of the 2010 #Chile #earthquake for the #UCSD's #University #Art #Gallery exhibit " #My #Strangest #Stranger " .	O V A N P D $ # # P D Z # # # N , # # # , ,	We produced #seismic #sounds of the 2010 #Chile #earthquake for the #UCSD's #University #Art #Gallery exhibit "#My #Strangest #Stranger".
Takin a moment 2 reflect on todays deadly 8.2 earthquake in #Chile that resulted in a tsunami . It … http://t.co/Y1MKKiazbf	V D N P V P Z A $ N P ^ O V P D N , O , U	Takin a moment 2 reflect on todays deadly 8.2 earthquake in #Chile that resulted in a tsunami. It… http://t.co/Y1MKKiazbf
I hope you all are doing fine , Stay strong 💕 #PrayForChile	O V O D V V A , V A , #	I hope you all are doing fine, Stay strong 💕 #PrayForChile
RT @guardiannews : Chile earthquake sparks tsunami warning and evacuation of thousands http://t.co/oF8nc50q9c	~ @ ~ ^ N N N N & N P N U	RT @guardiannews: Chile earthquake sparks tsunami warning and evacuation of thousands http://t.co/oF8nc50q9c
The epicenter of Chile's earthquake was Demi Lovato doing a few jumping jacks in the morning ❤	D N P Z N V ^ ^ V D A V ^ P D N E	The epicenter of Chile's earthquake was Demi Lovato doing a few jumping jacks in the morning ❤
RT @9NewsAUS : JUST IN : A fire has broken out in #Arica ,... http://t.co/qjrdaeljop #Pacific #Chile #Hawaii #SouthAmerica via @9NewsBrisbane	~ @ ~ R P , D N V V T P ^ , U # # # # P @	RT @9NewsAUS: JUST IN: A fire has broken out in #Arica,... http://t.co/qjrdaeljop #Pacific #Chile #Hawaii #SouthAmerica via @9NewsBrisbane
RT @KCIVC : #YAPSA visitors from #Argentina and #Chile learning about coffee roasting on a @TheRoasterie tour @WorldLearning http://t.co/8Gs …	~ @ ~ # N P ^ & ^ V P N V P D @ N @ U ,	RT @KCIVC: #YAPSA visitors from #Argentina and #Chile learning about coffee roasting on a @TheRoasterie tour @WorldLearning http://t.co/8Gs…
RT @disasteraware : [ WARN ] Upd Msg #2 , TSUNAMI , Pacific Ocean ; Near The Coast Of Northern Chile - 7.8 , reported by PTWC . http://t.co/KiiXYAe …	~ @ ~ , V , ^ ^ $ , N , ^ ^ , P D N P ^ ^ , $ , V P ^ , U ,	RT @disasteraware: [WARN] Upd Msg #2, TSUNAMI, Pacific Ocean; Near The Coast Of Northern Chile - 7.8, reported by PTWC. http://t.co/KiiXYAe…
RT @faiya : #PrayForChile « @bbcworldservice Chile's Interior Minister says 5 dead after earthquake . Latest updates on #BBCNewsday http://t.c …	~ @ ~ # ~ @ Z ^ ^ V $ A P N , A N P ^ U ~	RT @faiya: #PrayForChile «@bbcworldservice Chile's Interior Minister says 5 dead after earthquake. Latest updates on #BBCNewsday http://t.c…
RT @duolay : #PrayForSouthKorea #PrayForSinabung #PrayForMH370 #PrayForFlores #PrayForUkraine #PrayForNigeria #PrayForChile #PrayForTheWorld	~ @ ~ # # # # # # # #	RT @duolay: #PrayForSouthKorea #PrayForSinabung #PrayForMH370 #PrayForFlores #PrayForUkraine #PrayForNigeria #PrayForChile #PrayForTheWorld
#iYorkisxOTeam : Watch : Earthquake Off Chile's Coast , Tsunami Warnings Issued : More than 900,000 people evacua ... http://t.co/FxEaQuFjIF	# , V , N P Z N , N N V , A P $ N G ~ U	#iYorkisxOTeam: Watch:  Earthquake Off Chile's Coast, Tsunami Warnings Issued: More than 900,000 people evacua... http://t.co/FxEaQuFjIF
RT @archpics : This earthquake-proof house on a hillside in western Chile by Pezo von Ellrichshausen has six rooms with glass walls http://t …	~ @ ~ D A N P D N P A ^ P ^ ^ ^ V $ N P N N U ,	RT @archpics: This earthquake-proof house on a hillside in western Chile by Pezo von Ellrichshausen has six rooms with glass walls http://t…
God bless Chile #PrayForChile , God safe Indonesia ( Bali ) and all province , God beside we , God loves we * 67	^ V ^ ^ , ^ A ^ , ^ , & D N , ^ P O , ^ V O , $	God bless Chile #PrayForChile, God safe Indonesia (Bali) and all province, God beside we, God loves we *67
Don't worry about a thing , cause every little thing is gonna be alright	V V P D N , P D A N V V V R	Don't worry about a thing, cause every little thing is gonna be alright
Kentucky - Wisconsin en ESPN	^ , ^ G ^	Kentucky - Wisconsin en ESPN
DTN Latin America : Six Dead as Magnitude 8.2 Earthquake Hits Northern Chile : Chilean President Michelle Bachel ... http://t.co/yCrkPspjaG	^ ^ ^ , ^ A P N $ N N ^ ^ , ^ ^ ^ G ~ U	DTN Latin America: Six Dead as Magnitude 8.2 Earthquake Hits Northern Chile: Chilean President Michelle Bachel... http://t.co/yCrkPspjaG
RT @JaredLeto : PLEASE LOOK “ @cnnbrk : USGS upgrades Chile quake to 8.2 . Tsunami warning + watch in place for the following countries http://…	~ @ ~ V V , @ ~ ^ N ^ N P $ , N N & V P N P D N N U	RT @JaredLeto: PLEASE LOOK “@cnnbrk: USGS upgrades Chile quake to 8.2. Tsunami warning + watch in place for the following countries http://…
RT @WalterMakaula : 5 deaths in Chile 8.2 earthquake . Updates throughout the morning @CBSMiami @CBS4SummerK @michaelCBS4	~ @ ~ $ N P ^ $ N , N P D N @ @ @	RT @WalterMakaula: 5 deaths in Chile 8.2 earthquake.  Updates throughout the morning @CBSMiami @CBS4SummerK @michaelCBS4
@ddlovato Thanks Demi , TE AMO from CHILE	@ N ^ , ^ ^ P ^	@ddlovato  Thanks Demi, TE AMO from CHILE
@tennewsqld Another powerful earthquake in Chile sends ppl reeling . man wins lotto . but says he wans to give to charity and travel	@ D A N P ^ V N V , N V N , & V O V P V P N & N	@tennewsqld Another powerful earthquake in Chile sends ppl reeling. man wins lotto. but says he wans to give to charity and travel
RT @MaestrouzyPlus : You're already better off if you're reading this , so just take a minute and think about the people less unfortunate tha …	~ @ ~ L R A P P L V O , R R V D N & V P D N A A D ,	RT @MaestrouzyPlus: You're already better off if you're reading this, so just take a minute and think about the people less unfortunate tha…
Chinese eyes #girls #unab #university #universidadandresbello #Chile #santiago http://t.co/ZwHzN94YmD	A N N # # # # # U	Chinese eyes #girls #unab #university #universidadandresbello #Chile #santiago http://t.co/ZwHzN94YmD
@kellanlutz kellan Follow me please ♥ I Love You ♥	@ ^ V O V E O V O E	@kellanlutz kellan Follow me please ♥I Love You♥
8.2 Earthquake Rocks Chile : Snooki & More Stars Tweet Prayers : The northern coast of Chile was hit hard on April ... http://t.co/DgXRwxgnbV	$ N V ^ , ^ & A N V N , D A N P ^ V V A P ^ , U	8.2 Earthquake Rocks Chile: Snooki &amp; More Stars Tweet Prayers: The northern coast of Chile was hit hard on April... http://t.co/DgXRwxgnbV
#FuerzaValpo @ladygaga our country needs your help #PRAYFORCHILE	# @ D N V D N #	#FuerzaValpo @ladygaga our country needs your help #PRAYFORCHILE
RT @PaulStanleyLive : Thinking about the people of Chile today . #PrayForChile Text CHILE to 864833 to Have One-Time $10 Donation to @UnitedW …	~ @ ~ V P D N P ^ N , # V ^ P $ P V A $ N P @ ,	RT @PaulStanleyLive: Thinking about the people of Chile today. #PrayForChile Text CHILE to 864833 to Have One-Time $10 Donation to @UnitedW…
RT @BBCWorld : Watch the moment when Chile is struck by an 8.2 magnitude earthquake http://t.co/epxVVZC1Eg	~ @ ~ V D N R ^ V V P D $ N N U	RT @BBCWorld: Watch the moment when Chile is struck by an 8.2 magnitude earthquake http://t.co/epxVVZC1Eg
If you didn't ask me about the earthquake in Chile then you not my homie	P O V V O P D N P ^ R O R D N	If you didn't ask me about the earthquake in Chile then you not my homie
For #german people from #Aracaju , #Brazil : #Adidas Originals #Nastase #Player #Track top http://t.co/zKIGkSy1LX http://t.co/nQKbupTJoR	P ^ N P ^ , ^ , # N # # # A U U	For #german people from #Aracaju, #Brazil : #Adidas Originals #Nastase #Player #Track top http://t.co/zKIGkSy1LX http://t.co/nQKbupTJoR
Classic shit (@ Starbucks Coffee w/ 2 others ) http://t.co/4foPc1w2Cm	A N P ^ ^ P $ N , U	Classic shit (@ Starbucks Coffee w/ 2 others) http://t.co/4foPc1w2Cm
Another earthquake registered in Chile , magnitude 7.8 : http://t.co/7qs2k28mTY	D N V P ^ , N $ , U	Another earthquake registered in Chile, magnitude 7.8: http://t.co/7qs2k28mTY
Chile earthquake : The death toll from a powerful 8.2 -magnitude earthquake that struck off the c ... http://t.co/XG4aGpx8wI ff : @gospelgee	^ N , D N N P D A $ N N P V T D N ~ U G ~ @	Chile earthquake: The death toll from a powerful 8.2-magnitude earthquake that struck off the c... http://t.co/XG4aGpx8wI ff: @gospelgee
2 Confirmed Dead In Chile After Massive Earthquake Struck : Two people were confirmed dead and three were serio ... http://t.co/7clXwlzjXF	P V V P ^ P A N V , $ N V V A & $ V G ~ U	2 Confirmed Dead In Chile After Massive Earthquake Struck: Two people were confirmed dead and three were serio... http://t.co/7clXwlzjXF
A 7.8 magnitude quake has hit off northern Chile triggering tsunami waves along the Chilean coast .	D $ N N V V T A ^ V N V P D ^ N ,	A 7.8 magnitude quake has hit off northern Chile triggering tsunami waves along the Chilean coast.
#ChicserLivestream #TeamChicser #PrayForChile @ranzkyle @ranzkyle @owyposadas PLEASE GREET ME , PRETTY PLEASE :(( 8	# # # @ @ @ V V O , R V E $	#ChicserLivestream  #TeamChicser #PrayForChile @ranzkyle @ranzkyle @owyposadas PLEASE GREET ME , PRETTY PLEASE :(( 8
RT @peruvill : Interseismic coupling model prior to the 8.2 Mw northern #Chile #Earthquake ( Chlieh etal2011 ) http://t.co/PbH3BSIfeS http://t .…	~ @ ~ ^ V N R P D $ G A # # , ^ ^ , U U ,	RT @peruvill: Interseismic coupling model prior to the 8.2Mw northern #Chile #Earthquake (Chlieh etal2011) http://t.co/PbH3BSIfeS http://t.…
RT @newscientist : The magnitude 8.2 earthquake that struck Chile yesterday may be part of a cascade of major quakes . http://t.co/uplJbcuy7e	~ @ ~ D N $ N P V ^ N V V N P D N P A N , U	RT @newscientist: The magnitude 8.2 earthquake that struck Chile yesterday may be part of a cascade of major quakes. http://t.co/uplJbcuy7e
RT @VMiguelG : Sending all my good thoughts and prayers to everyone who was affected by the magnitude 8.2 earthquake in Chile🙏 stay strong . …	~ @ ~ V D D A N & N P N O V V P D N $ N P ^ V A , ,	RT @VMiguelG: Sending all my good thoughts and prayers to everyone who was affected by the magnitude 8.2 earthquake in Chile🙏 stay strong. …
RT @Hanna_JKT48 : #ChileEarthquake stay safe :)	~ @ ~ # V A E	RT @Hanna_JKT48: #ChileEarthquake stay safe :)
Preview : @MACKWILDS gives ' This Is Hot 97 ’ bedroom advice on threesomes http://t.co/rijM68Ufqe	N , @ V , O V A $ , N N P N U	Preview: @MACKWILDS gives 'This Is Hot 97’ bedroom advice on threesomes http://t.co/rijM68Ufqe
RT @edgilligan : Wow x 2 : “ @davidmarcus : Wow .... from @WIRED : Terrifying Animation Shows How Chile Tsunami Took Over the Pacific Ocean http://…	~ @ ~ ! E $ , , @ ~ ! , P @ ~ A N V R ^ N V P D ^ ^ U	RT @edgilligan: Wow x 2:“@davidmarcus: Wow....from @WIRED: Terrifying Animation Shows How Chile Tsunami Took Over the Pacific Ocean http://…
RT @News1130radio : BREAKING Tsunami warnings now cancelled for Chile and Peru , 5 people are confirmed dead after the earthquake	~ @ ~ V N N R V P ^ & ^ , $ N V V A P D N	RT @News1130radio: BREAKING Tsunami warnings now cancelled for Chile and Peru, 5 people are confirmed dead after the earthquake
@YvettieN I'm gonna pray for my professor . I know it took strength not to laugh at her . she said she felt the earthquake from chile 😂	@ L V V P D N , O V O V N R P V P O , O V O V D N P ^ G	@YvettieN I'm gonna pray for my professor. I know it took strength not to laugh at her. she said she felt the earthquake from chile 😂
#TeamPAPii -Chile Assesses Damage After Huge Earthquake Kills 6 http://t.co/fX4B1pIxCv ( Unete → @TeamPAPii )	# ^ ^ N P A N V $ U , A G @ ,	#TeamPAPii -Chile Assesses Damage After Huge Earthquake Kills 6 http://t.co/fX4B1pIxCv (Unete → @TeamPAPii)
NOW : Large fire burning in #Arica #Chile Tuesday night , just south of #Peru border #TerremotoChile #EarthquakChile http://t.co/9lluO7GP3u	R , A N V P ^ ^ ^ N , R R P ^ ^ ^ ^ U	NOW: Large fire burning in #Arica #Chile Tuesday night, just south of #Peru border #TerremotoChile #EarthquakChile http://t.co/9lluO7GP3u
RT @CBSThisMorning : Powerful earthquake hits off coast of Chile . The latest on the magnitude- 8.2 quake , ahead on @CBSThisMorning : http://t .…	~ @ ~ A N V T N P ^ , D A P D N $ N , R P @ ~ U ,	RT @CBSThisMorning: Powerful earthquake hits off coast of Chile. The latest on the magnitude-8.2 quake, ahead on @CBSThisMorning: http://t.…
http://t.co/PeP4nHkYBo BREAKING NEWS 77 Chile Chile cancels tsunami warnings nicoleewayne #master #ios #android hd	U V N $ ^ ^ V N N N N # # A	http://t.co/PeP4nHkYBo  BREAKING NEWS 77 Chile Chile cancels tsunami warnings nicoleewayne  #master #ios #android hd
RT @area51org : Mulder's World : Chile Earthquake 8.0 Giant Earthquake in Chile Tsunami Warning ( Video ) http://t.co/inVCuXHWWm	~ @ ~ Z N , ^ ^ $ A N P ^ N N , N , U	RT @area51org: Mulder's World: Chile Earthquake 8.0 Giant Earthquake in Chile Tsunami Warning (Video) http://t.co/inVCuXHWWm
RT @TitusNation : Hey CNN there was an earthquake in chile . Supreme Court just made if okay to buy an election . Put down the FLT . 370 crack …	~ @ ~ ! ^ X V D N P ^ , ^ ^ R V P A P V D N , V T D N , $ N ,	RT @TitusNation: Hey CNN there was an earthquake in chile. Supreme Court just made if okay to buy an election. Put down the FLT. 370 crack …
I liked a @YouTube video from @oneminutenews http://t.co/CXKp3IQJy0 8.2 Magnitude Earthquake Hits Coast of Chile , 300 Female	O V D @ N P @ U $ N N N N P ^ , $ N	I liked a @YouTube video from @oneminutenews http://t.co/CXKp3IQJy0 8.2 Magnitude Earthquake Hits Coast of Chile, 300 Female
RT @northemmosphere : #PrayForChile guys . They're hit by a very strong earthquake yesterday . So far , 6 people are dead .	~ @ ~ # N , L V P D R A N N , R R , $ N V A ,	RT @northemmosphere: #PrayForChile guys. They're hit by a very strong earthquake yesterday. So far, 6 people are dead.
A powerful 8.2 -magnitude earthquake has hit near Chile's Pacific coast , sparking tsunami warnings for Chile , Peru and Ecuador .	D A $ N N V V P Z ^ N , V N N P ^ , ^ & ^ ,	A powerful 8.2-magnitude earthquake has hit near Chile's Pacific coast, sparking tsunami warnings for Chile, Peru and Ecuador.
RT @Bill_Nye_Tho__ : Chile had a 8.3 earthquake that's 3x the nagasaki atom bomb's energy . this aint april fools nature dont fuck around ht …	~ @ ~ ^ V D $ N L P D ^ ^ S N , O V ^ ^ N V V P U ,	RT @Bill_Nye_Tho__: Chile had a 8.3 earthquake  that's 3x the nagasaki atom bomb's energy. this aint april fools nature dont fuck around ht…
Terrifying Animation Shows How Chile’s Tsunami Took Over the Entire Pacific Ocean : [ HTML1 ... http://t.co/pxxnwG0sOY #technews #agyatlabs	A N V R Z N V P D A ^ ^ , , G ~ U # #	Terrifying Animation Shows How Chile’s Tsunami Took Over the Entire Pacific Ocean: [HTML1... http://t.co/pxxnwG0sOY #technews #agyatlabs
RT @RT_com : WRAP-UP : Tsunami hits #Chile following 8.2 earthquake , 5 dead , 80k displaced , damage , fires , aftershocks reported http://t.co/f …	~ @ ~ N , N N ^ V $ N , $ A , $ V , N , V , N V U ,	RT @RT_com: WRAP-UP: Tsunami hits #Chile following 8.2 earthquake, 5 dead, 80k displaced, damage, fires, aftershocks reported http://t.co/f…
People in high places waiting for the tsunami after 8.2 earthquake . #PrayForChile #ChileEarthquake http://t.co/i1cOziQEia	N P A N V P D N P $ N , # # U	People in high places waiting for the tsunami after 8.2 earthquake.  #PrayForChile   #ChileEarthquake http://t.co/i1cOziQEia
RT @News1130radio : The mayor of Tarapaca is attributing two deaths following a large earthquake in #Chile to heart attacks .	~ @ ~ D N P ^ V V $ N V D A N P ^ P V V ,	RT @News1130radio: The mayor of Tarapaca is attributing two deaths following a large earthquake in #Chile to heart attacks.
Only 5 dead in Chile earthquake . Too bad .	R $ A P ^ N , R A ,	Only 5 dead in Chile earthquake. Too bad.
RT @justintimeOO : ♦ http://t.co/qtmVDIyNHJ 938 ♦ Chile earthquake ♦ Magnitude 8.2 earthquake strikes Chile , sparking tsunami , landsli … htt …	~ @ ~ G U $ G ^ N G ^ $ N V ^ , V N , ^ , U ,	RT @justintimeOO: ♦ http://t.co/qtmVDIyNHJ  938 ♦ Chile earthquake ♦ Magnitude 8.2 earthquake strikes Chile, sparking tsunami, landsli… htt…
Indonesia says it could be hit by tsunami from Chile earthquake http://t.co/SnD9ppeVkW	^ V O V V V P N P ^ N U	Indonesia says it could be hit by tsunami from Chile earthquake http://t.co/SnD9ppeVkW
We needn’t worry the huge Chile earthquake is related to recent Calif . temblors , geologists say : http://t.co/BUEehA2DP3 via @Gcgoodale	O V V D A ^ N V A P A ^ , N , N V , U P @	We needn’t worry the huge Chile earthquake is related to recent Calif. temblors, geologists say: http://t.co/BUEehA2DP3 via @Gcgoodale
RT @1DkidrauhlSBKam : 1 8.5 earthquake and a tsunami and 1 7.4 earthquake with a tsunami less than 24 hours apart . Worried for everyone in C …	~ @ ~ $ $ N & D N & $ $ N P D N A P $ N N , A P N P ^ ,	RT @1DkidrauhlSBKam: 1 8.5 earthquake and a tsunami and 1 7.4 earthquake with a tsunami less than 24 hours apart. Worried for everyone in C…
RT @HumanitarianCat : Second big quake strikes #Chile , @savechildrenuk team in area report over 50 aftershocks so far : http://t.co/QgdhZQzH60	~ @ ~ A A N N # , @ N P N N P $ N R R , U	RT @HumanitarianCat: Second big quake strikes #Chile, @savechildrenuk team in area report over 50 aftershocks so far: http://t.co/QgdhZQzH60
#PrayForMH370 #PrayForChile #PrayForSouthKorea #PrayForSinabung #PrayForIndonesia #PrayForNigeria Oh God ... Please save us ...	# # # # # # ! ^ , V V O ,	#PrayForMH370 #PrayForChile #PrayForSouthKorea #PrayForSinabung #PrayForIndonesia #PrayForNigeria  Oh God... Please save us...
Omg earthquake Let's all #PrayForChile RIP those who lost their lives ! May Allah forgive the mankind and show mercy upon us all ! Ameen !	! N L D ^ V O O V D N , V ^ V D N & N N P O D , ! ,	Omg earthquake  Let's all #PrayForChile RIP those who lost their lives! May Allah forgive the mankind and show mercy upon us all! Ameen!
RT @cnnbrk : All tsunami warnings and watches in the Pacific canceled , including for Chile and Peru . http://t.co/vIQ9VOXkcy	~ @ ~ D N N & V P D ^ V , V P ^ & ^ , U	RT @cnnbrk: All tsunami warnings and watches in the Pacific canceled, including for Chile and Peru. http://t.co/vIQ9VOXkcy
RT @Michelle9647 : 100 riot police would be flown immediately to northern #Chile to maintain order http://t.co/FrvWjXbwVY #earthquake	~ @ ~ $ N N V V V R P A N P V N U #	RT @Michelle9647: 100 riot police would be flown immediately to northern #Chile to maintain order  http://t.co/FrvWjXbwVY #earthquake
" @fadjroeL : INDONESIA : Let's Pray for Chile http://t.co/eJUGn75BsY #PrayForChile "	, @ ~ ^ , L V P ^ U # ,	"@fadjroeL: INDONESIA: Let's Pray for Chile http://t.co/eJUGn75BsY #PrayForChile"
I stole this image from IG I don't know the artist but is crazy awesome #Chileanflag #Chile #earthquake #fuerzachile http://t.co/LyeaANoMOU	O V D N P ^ O V V D N & V A A # # # # U	I stole this image from IG I don't know the artist but is crazy awesome #Chileanflag #Chile #earthquake #fuerzachile http://t.co/LyeaANoMOU
disconnected me encanta :( :( :(	V O V E E E	disconnected me encanta :( :( :(
M 8.0 Earthquake Has Struck Chile - April 1 , 2014 ( Spaceweather Effect ? ) http://t.co/WvSNgQ011s	G $ N V V ^ , ^ $ , $ , ^ N , , U	M8.0 Earthquake Has Struck Chile - April 1, 2014 (Spaceweather Effect?) http://t.co/WvSNgQ011s
[ #BrandySolamente ] Full Episode : GMA 4/2 : Earthquake Off Chile's Coast , Tsunami Warnings Issued : ' GMA ' Invest ... http://t.co/AxtiPWXbZI	, # , A N , ^ ^ , N P Z N , N N V , , ^ , V , U	[#BrandySolamente] Full Episode:  GMA 4/2: Earthquake Off Chile's Coast, Tsunami Warnings Issued: 'GMA' Invest... http://t.co/AxtiPWXbZI
@AustinMahone follow me please , make my day austin	@ V O V , V D N ^	@AustinMahone follow me please , make my day austin
The most beautiful geysers in the world : http://t.co/w35C27ltX3 #chile #yellowstone #nz #iceland	D R A N P D N , U # # # #	The most beautiful geysers in the world:  http://t.co/w35C27ltX3 #chile #yellowstone #nz #iceland
RT @NWSLosAngeles : Just to repeat ... A tsunami is NOT expected to affect Southern California coast from earlier earthquake off the Chilean C …	~ @ ~ R P V , D N V R V P V A ^ N P A N P D ^ ^ ,	RT @NWSLosAngeles: Just to repeat...A tsunami is NOT expected to affect Southern California coast from earlier earthquake off the Chilean C…
Chile Earthquake 8 0 Tsunami Terremoto 2014 Raw Video YouTube http://t.co/ye90vuAZPx http://t.co/qeZtS1pnfv #chile	^ ^ $ $ N ^ $ A N ^ U U #	Chile Earthquake 8 0 Tsunami Terremoto 2014 Raw Video YouTube http://t.co/ye90vuAZPx http://t.co/qeZtS1pnfv #chile
Must rd -> RT @PatrickMeier : Using AIDR to Collect and Analyze Tweets from #ChileEarthquake http://t.co/PjOTpLbfpP #smem	V N G ~ @ ~ V N P V & V N P ^ U #	Must rd-&gt; RT @PatrickMeier: Using AIDR to Collect and Analyze Tweets from #ChileEarthquake http://t.co/PjOTpLbfpP #smem
RT @kaisparkles : Keep safe everyone and let's always pray #PRAYForChile #PrayForSinabung #PrayForIndonesia #PrayForNigeria http://t.co/GL …	~ @ ~ V A N & L R V ^ # # # U ,	RT @kaisparkles: Keep safe everyone and let's always pray  #PRAYForChile  #PrayForSinabung #PrayForIndonesia #PrayForNigeria http://t.co/GL…
RT @Emoji_Tweets_ : Here we go again ! Another earthquake tonight 7.8 in Chile & Tsunami Warning for the whole Chilean Coast Please #PrayForC …	~ @ ~ R O V R , D N N $ P ^ & N N P D A ^ ^ V # ,	RT @Emoji_Tweets_: Here we go again! Another earthquake tonight 7.8 in Chile &amp; Tsunami Warning for the whole Chilean Coast Please #PrayForC…
Gloria Vanderbilt , Kaley Cuoco , Chile Earthquake , ... : Gloria Vanderbilt Kaley Cuoco Chile Earthquake Apr ...	^ ^ , ^ ^ , ^ ^ , , , ^ ^ ^ ^ ^ ^ ^ ,	Gloria Vanderbilt, Kaley Cuoco, Chile Earthquake, ...: Gloria Vanderbilt   Kaley Cuoco   Chile Earthquake   Apr...
RT @JohnMSaunders : #Tsunami warnings have been cancelled except for #Chile and Peru . No threat to US or Canadian west coast .	~ @ ~ # N V V V V P ^ & ^ , D N P ^ & ^ ^ N ,	RT @JohnMSaunders: #Tsunami warnings have been cancelled except for #Chile and Peru. No threat to US or Canadian west coast.
RT @cnnbrk : Scientists confirm California quakes are unrelated to the 8.2 -magnitude earthquake that struck Chile . http://t.co/uqaQ5OGiNk	~ @ ~ N V ^ N V A P D $ N N P V ^ , U	RT @cnnbrk: Scientists confirm California quakes are unrelated to the 8.2-magnitude earthquake that struck Chile. http://t.co/uqaQ5OGiNk
@louis_tomlinson hello boo ! #prayforchile baby ! I know u have a big heart . maybe u can help too . xoxo ! #directioner	@ ! N , # N , O V O V D A N , R O V V R , E , #	@louis_tomlinson hello boo! #prayforchile baby!  I know u have a big heart.  maybe u can help too. xoxo! #directioner
